game_dates,pitcher_hm,pitcher_aw,hitman_hm_1,hitman_hm_2,hitman_hm_3,hitman_hm_4,hitman_hm_5,hitman_hm_6,hitman_hm_7,hitman_hm_8,hitman_hm_9,hitman_aw_1,hitman_aw_2,hitman_aw_3,hitman_aw_4,hitman_aw_5,hitman_aw_6,hitman_aw_7,hitman_aw_8,hitman_aw_9,winner,gameId,homeTeamCode,awayTeamCode,hm_R,hm_h,hm_e,hm_b,aw_R,aw_h,aw_e,aw_b
20180324,65742,68748,78168,67394,76746,75125,64300,61353,77564,67341,79365,74163,62797,76753,71752,62700,75808,68730,78288,78756,HOME,20180324HHWO02018,WO,HH,6,12,1,4,3,13,1,1
20180324,66643,65331,76849,70410,67650,72443,78629,79608,70756,62864,78603,64006,99810,67025,74215,76313,74339,73113,68050,78548,AWAY,20180324KTHT02018,HT,KT,4,12,0,4,5,11,0,1
20180324,68948,68135,62907,62931,62947,67935,78813,63963,73339,73213,67944,65115,64153,72133,68103,76290,79192,63123,61102,79109,HOME,20180324LGNC02018,NC,LG,4,9,0,4,2,7,0,1
20180324,65856,68526,61869,73209,75847,67872,75151,62895,66838,76812,76802,76249,77532,78513,71564,77463,67598,68525,62556,67454,HOME,20180324LTSK02018,SK,LT,6,8,3,7,5,7,2,6
20180324,65543,74454,79240,76267,79215,78224,76232,75334,68244,77248,74206,62415,79402,62404,67450,74540,75566,71432,61404,64610,AWAY,20180324SSOB02018,OB,SS,3,6,0,0,6,13,1,5
20180325,74513,68435,79240,76267,79215,78224,76232,75334,68244,77248,74206,62415,79402,62404,67450,74540,75566,72466,61404,64610,HOME,20180325SSOB02018,OB,SS,5,8,0,4,4,6,1,1
20180325,65320,68742,78168,67394,76746,75125,64300,61353,77564,67341,66354,74163,62797,76753,71752,62700,75808,68730,78288,78756,AWAY,20180325HHWO02018,WO,HH,1,5,0,2,4,11,0,3
20180325,77637,65060,76849,67650,70410,72443,78629,79608,70756,62864,78603,63450,79453,67025,74215,76313,74339,73113,68050,78548,HOME,20180325KTHT02018,HT,KT,14,16,0,4,1,7,0,0
20180325,68953,66145,62907,62931,62947,67935,71552,63963,73339,73213,67944,65115,78217,72133,68103,76290,79192,79109,61102,63123,HOME,20180325LGNC02018,NC,LG,7,8,0,9,1,3,3,5
20180325,77829,67588,61869,73209,75847,62895,67872,75151,66838,62884,76812,76249,77532,78513,71564,79356,67598,68525,72546,67454,HOME,20180325LTSK02018,SK,LT,5,9,1,5,0,5,0,1
