backnum,playerName,playerCode,birth,info
35,윌슨,68135,19890925,-
15,안익훈,65115,19960212,-
33,박용택,72133,19790421,-
3,가르시아,68103,19850412,-
26,듀브론트,68526,19871023,-
3,민병헌,76249,19870310,-
7,이병규,76100,19831009,-
35,윌리엄슨,69405,19900715,-
66,김상호,62559,19890510,-
98,번즈,67598,19900807,-
56,신본기,62556,19890321,H_KT
64,나원탁,67454,19940820,-
44,파레디스,68244,19881125,-
24,오재원,77248,19850209,-
43,헥터,66643,19870126,-
16,김주찬,70410,19810325,-
50,버나디나,67650,19840612,-
29,나지완,78629,19850519,-
25,이범호,70756,19811125,-
14,이명기,76849,19871226,H_HH
23,켈리,65856,19881014,-
17,노수광,63704,19900806,H_HH
6,나주환,73209,19840614,-
27,로맥,67872,19850930,-
10,최승준,76158,19880111,-
66,최금강,62966,19890426,-
39,이종욱,73339,19800618,-
16,모창민,78813,19850508,-
35,스크럭스,67935,19870923,-
13,손시헌,73213,19801019,-
10,지석훈,73306,19840317,-
12,신진호,67944,19911020,-
1,양창섭,68415,19990922,P_SS
50,러프,67450,19860728,-
33,박한이,71432,19790128,-
23,배영섭,79465,19860627,-
6,손주인,72456,19831201,-
6,정현,63450,19940601,-
24,로하스,67025,19900524,-
5,윤석민,74215,19850904,-
61,유한준,74339,19810701,-
94,초이스,67394,19891110,-
14,서건창,78168,19890822,H_LG
7,김하성,64300,19951017,-
22,주효상,66354,19971111,H_HT
53,김민우,65764,19950725,P_HH
15,이용규,74163,19850826,H_WO
16,하주석,62700,19940225,H_HH
8,정근우,75808,19821002,-
50,이성열,73136,19840713,-
25,최진행,74729,19850817,-
56,백창수,60100,19880509,-
24,호잉,68730,19890518,-
6,오선진,78756,19890707,H_HH
17,임지섭,64155,19950906,-
66,박지규,65136,19911012,-
2,백승현,65109,19950526,-
18,윤성빈,67588,19990226,-
52,김동한,61204,19880624,-
10,이대호,71564,19820621,H_LT
0,채태인,77463,19821011,-
27,박헌도,79356,19870101,-
12,김사훈,61591,19870618,-
43,후랭코프,68240,19880827,-
51,조수행,66209,19930830,H_OB
43,오정환,68614,19990327,-
36,오준혁,61743,19920311,-
56,정성훈,99606,19800627,-
33,김주형,74605,19851215,-
30,유민상,62265,19890413,-
67,이영욱,78467,19851011,-
26,한승택,63722,19940621,H_HT
6,홍재호,60605,19870510,-
10,정의윤,75151,19860725,-
36,박정권,74846,19810721,-
4,이성우,71184,19810901,-
51,이재학,60263,19901004,P_NC
23,보니야,68400,19900618,-
