idx,code,year,date,result,startup,ip,run,er,bf,ab,hit,second,third,homerun,bb,ibb,hbp,k,pit,whip,avg,obp,ops,era,avli,re24,wpa,gsc,decision,itv
000001,65742,2018,03-24,W 6:3,1,6.2,3,2,27,26,9,0,1,0,1,0,0,6,106,1.5,0.346,0.37,0.79,2.7,0.84,0.35,0.07,51,W,7+
000002,65742,2018,03-30,W 10:8,1,6.1,6,6,29,28,9,0,1,2,0,0,1,7,101,1.46,0.333,0.34,0.95,5.54,0.76,-1.84,-0.123,38,-,6
000003,65742,2018,04-05,W 4:3,1,7.0,2,2,27,25,5,1,0,1,1,0,0,5,96,1.25,0.291,0.23,0.59,4.5,0.93,1.89,0.148,63,-,6
000004,65742,2018,04-11,L 0:12,1,4.1,5,5,24,19,8,1,0,0,2,0,1,4,84,1.44,0.316,0.46,0.93,5.55,0.89,-3.88,-0.214,29,L,6
000005,65742,2018,04-17,L 2:3,1,7.0,2,2,26,24,5,1,0,0,1,0,0,4,111,1.31,0.295,0.24,0.49,4.88,1.14,1.89,0.16,62,-,6
000006,65742,2018,04-22,W 10:1,1,9.0,1,1,30,30,5,1,0,0,0,0,0,8,100,1.14,0.27,0.17,0.37,4.02,0.49,4.0,0.116,81,W CG,5
000007,65742,2018,04-28,L 4:6,1,7.0,3,0,29,28,7,0,0,0,1,0,0,6,106,1.14,0.267,0.28,0.53,3.42,1.25,0.89,0.11,62,-,6
000008,65742,2018,05-04,W 11:1,1,7.0,0,0,28,26,7,0,0,0,2,0,0,10,109,1.16,0.267,0.32,0.59,2.98,0.55,3.89,0.178,71,W,6
000009,65742,2018,05-10,L 1:3,1,6.0,3,2,28,25,9,1,1,0,2,0,1,5,115,1.23,0.277,0.43,0.91,2.98,1.11,0.33,-0.072,47,L,6
000010,65742,2018,05-17,W 8:2,1,7.0,2,2,27,25,4,0,0,1,2,0,0,7,108,1.19,0.266,0.22,0.5,2.94,1.13,1.89,0.209,66,W,7
000011,65742,2018,05-23,L 2:13,1,6.0,5,5,27,24,9,1,0,2,2,0,1,2,102,1.24,0.275,0.44,1.11,3.31,0.49,-1.67,-0.237,34,L,6
000012,65742,2018,05-29,W 12:8,1,7.0,5,5,30,29,8,0,0,1,1,0,0,1,101,1.24,0.275,0.3,0.68,3.59,0.7,-1.12,-0.106,41,W,6
000013,65742,2018,06-03,L 0:8,1,2.2,3,3,13,11,4,1,1,0,1,0,1,0,46,1.27,0.278,0.46,1.1,3.8,0.87,-1.45,-0.167,37,L,5
000014,68748,2018,03-24,L 3:6,1,4.0,6,5,25,21,8,2,0,1,4,0,0,8,110,3.0,0.381,0.48,1.1,11.25,1.29,-3.41,-0.376,28,L,7+
000015,68748,2018,03-30,L 4:8,1,4.2,8,7,23,19,5,0,0,2,4,0,0,8,113,2.42,0.325,0.39,0.97,12.46,1.11,-6.34,-0.48,28,L,6
000016,68748,2018,04-07,L 2:10,1,5.0,2,2,21,15,2,0,0,0,6,0,0,7,120,2.12,0.273,0.38,0.51,9.22,1.16,0.78,0.014,56,L,7+
