idx,code,name,position
000001,68135,윌슨,pit
000002,65115,안익훈,hit
000003,72133,박용택,hit
000004,68103,가르시아,hit
000005,68526,듀브론트,pit
000006,76249,민병헌,hit
000007,76100,이병규,hit
000008,69405,윌리엄슨,hit
000009,62559,김상호,hit
000010,67598,번즈,hit
000011,62556,신본기,hit
000012,67454,나원탁,hit
000013,68244,파레디스,hit
000014,77248,오재원,hit
000015,66643,헥터,pit
000016,70410,김주찬,hit
000017,67650,버나디나,hit
000018,78629,나지완,hit
000019,70756,이범호,hit
000020,76849,이명기,hit
000021,65856,켈리,pit
000022,63704,노수광,hit
000023,73209,나주환,hit
000024,67872,로맥,hit
000025,76158,최승준,hit
000026,62966,최금강,pit
000027,73339,이종욱,hit
000028,78813,모창민,hit
000029,67935,스크럭스,hit
000030,73213,손시헌,hit
000031,73306,지석훈,hit
000032,67944,신진호,hit
000033,68415,양창섭,pit
000034,67450,러프,hit
000035,71432,박한이,hit
000036,79465,배영섭,hit
000037,72456,손주인,hit
000038,63450,정현,hit
000039,67025,로하스,hit
000040,74215,윤석민,hit
000041,74339,유한준,hit
000042,67394,초이스,hit
000043,78168,서건창,hit
000044,64300,김하성,hit
000045,66354,주효상,hit
000046,65764,김민우,pit
000047,74163,이용규,hit
000048,62700,하주석,hit
000049,75808,정근우,hit
000050,73136,이성열,hit
000051,74729,최진행,hit
000052,60100,백창수,hit
000053,68730,호잉,hit
000054,78756,오선진,hit
000055,64155,임지섭,pit
000056,65136,박지규,hit
000057,65109,백승현,hit
000058,67588,윤성빈,pit
000059,61204,김동한,hit
000060,71564,이대호,hit
000061,77463,채태인,hit
000062,79356,박헌도,hit
000063,61591,김사훈,hit
000064,68240,후랭코프,pit
000065,66209,조수행,hit
000066,68614,오정환,hit
000067,61743,오준혁,hit
000068,99606,정성훈,hit
000069,74605,김주형,hit
000070,62265,유민상,hit
000071,78467,이영욱,hit
000072,63722,한승택,hit
000073,60605,홍재호,hit
000074,75151,정의윤,hit
000075,74846,박정권,hit
000076,71184,이성우,hit
000077,60263,이재학,pit
000078,68400,보니야,pit
000079,61404,김헌곤,hit
000080,72466,조동찬,hit
000081,65060,주권,pit
000082,64006,심우준,hit
000083,60343,이해창,hit
000084,67313,브리검,pit
000085,76746,김태완,hit
000086,79334,장영석,hit
000087,68742,휠러,pit
000088,62797,양성우,hit
000089,76720,정범모,hit
000090,75258,금민철,pit
000091,79453,오정복,hit
000092,66052,남태혁,hit
000093,77462,김동욱,hit
000094,70553,박기혁,hit
000095,77654,이준수,hit
000096,64012,송민섭,hit
000097,70425,배영수,pit
000098,66716,정경운,hit
000099,65933,구창모,pit
000100,74358,조평호,hit
000101,65546,레일리,pit
000102,72546,문규현,hit
000103,68815,산체스,pit
000104,61869,정진기,hit
000105,61365,김대우,pit
000106,64793,김민수,hit
000107,66462,김성훈,hit
000108,62363,한현희,pit
000109,79300,김지수,hit
000110,67645,팻딘,pit
000111,79617,정용운,pit
000112,78643,백용환,hit
000113,73606,서동욱,hit
000114,74454,윤성환,pit
000115,61197,최영진,hit
000116,62698,소사,pit
000117,71842,정상호,hit
000118,77211,이용찬,pit
000119,79290,국해성,hit
000120,77591,송승준,pit
000121,60523,정훈,hit
000122,64029,류희운,pit
000123,99810,이진영,hit
000124,68948,왕웨이중,pit
000125,68748,샘슨,pit
000126,76753,송광민,hit
000127,71752,김태균,hit
000128,65742,로저스,pit
000129,62869,문승원,pit
000130,68435,아델만,pit
000131,65331,피어밴드,pit
000132,68953,베렛,pit
000133,66968,이재율,hit
000134,66741,김재영,pit
000135,64717,지시완,hit
000136,68330,예진원,hit
000137,68362,추재현,hit
000138,62884,최항,hit
000139,65543,린드블럼,pit
000140,61186,이천웅,hit
000141,61114,김재율,hit
000142,66710,강상원,hit
000143,65269,김민혁,hit
000144,63559,백동훈,hit
000145,66145,김대현,hit
000146,64350,하영민,pit
000147,60336,문성현,pit
000148,78217,김용의,hit
000149,71552,최준석,hit
000150,73750,윤규진,pit
000151,74823,임훈,hit
000152,62937,신재영,pit
000153,62528,김원중,pit
000154,79229,유희관,pit
000155,65616,이민우,pit
000156,61208,정진호,hit
000157,77446,백정현,pit
000158,76509,김문호,hit
000159,79847,김태훈,pit
000160,76455,차우찬,pit
000161,73738,안영명,pit
000162,66047,박세진,pit
000163,67005,홍현빈,hit
000164,62409,박찬도,hit
000165,65399,허정협,hit
000166,62908,황윤호,hit
000167,66706,장진혁,hit
000168,64266,이성곤,hit
000169,61240,니퍼트,pit
000170,66960,정수민,pit
000171,79530,양종민,hit
000172,73342,이택근,hit
000173,79705,김회성,hit
000174,66160,유재유,pit
000175,62353,박정음,hit
000176,76355,장원삼,pit
000177,66702,이시원,hit
000178,78566,황진수,hit
000179,62754,임기영,pit
000180,62893,최정민,hit
000181,73211,노경은,pit
000182,78753,김지열,hit
000183,66291,이영하,pit
000184,67143,손주영,pit
000185,60339,김건태,pit
000186,65412,권정웅,hit
000187,63257,김인태,hit
000188,62356,김규민,hit
000189,68701,김진욱,pit
000190,68904,오영수,hit
000191,67828,김성민,pit
000192,60559,박시영,pit
000193,62025,이원재,hit
000194,76368,유재신,hit
000195,61554,김민하,hit
000196,79113,문선재,hit
000197,79150,정주현,hit
000198,79198,윤진호,hit
000199,68260,현도훈,pit
000200,66920,최성영,pit
000201,78361,전민수,hit
000202,61366,홍성갑,hit
000203,62016,윤병호,hit
000204,62537,윤수강,hit
000205,76869,김재현,hit
000206,62921,박헌욱,hit
000207,60764,김용주,pit
000208,66508,나경민,hit
000209,64724,박준혁,hit
000210,64944,박대온,hit
000211,63593,조홍석,hit
000212,62920,노성호,pit
000213,63088,김진곤,hit
000214,64086,신성현,hit
000215,64657,박준태,hit
000216,75620,윤석민,pit
000217,66615,류승현,hit
000218,66917,김찬형,hit
