idx,code,year,avg,slg,bbk,wpa,re24,obp
000001,50066,2023,0.226,0.343,0.214,0.0,0.0,0.259
000002,50165,2020,0.278,0.597,0.401,-0.0,0.225,0.37
000003,50165,2021,0.243,0.422,0.419,-0.015,-0.16,0.317
000004,50202,2022,0.297,0.343,0.65,0.0,-0.105,0.367
000005,50202,2023,0.281,0.363,0.6,-0.003,0.05,0.333
000006,50293,2023,0.239,0.31,0.4,-0.008,-0.15,0.321
000007,50350,2020,0.251,0.332,0.595,-0.022,-0.3,0.316
000008,50350,2023,0.286,0.4,0.436,-0.001,-0.08,0.342
000009,50458,2020,0.232,0.272,0.545,0.0,-0.11,0.296
000010,50458,2021,0.276,0.306,0.906,0.0,0.0,0.327
000011,50458,2022,0.28,0.332,0.703,-0.007,-0.12,0.345
000012,50458,2023,0.286,0.324,1.24,-0.008,-0.03,0.386
000013,50468,2020,0.28,0.477,0.561,0.0,0.115,0.411
000014,50469,2020,0.209,0.367,0.31,-0.024,-0.28,0.272
000015,50500,2022,0.294,0.366,0.4,0.0,0.0,0.334
000016,50500,2023,0.231,0.271,0.432,-0.008,-0.41,0.276
000017,50506,2020,0.28,0.422,0.9,-0.002,-0.225,0.356
000018,50506,2021,0.279,0.361,0.892,-0.014,-0.185,0.357
000019,50704,2020,0.231,0.306,0.237,-0.014,-0.3,0.294
000020,50704,2021,0.153,0.214,0.245,-0.022,-0.355,0.226
000021,50707,2020,0.236,0.236,0.118,-0.017,-0.37,0.259
000022,50707,2021,0.206,0.338,0.558,-0.003,-0.17,0.329
000023,50709,2021,0.196,0.234,0.281,-0.009,-0.57,0.25
000024,50709,2022,0.244,0.317,0.214,-0.016,-0.25,0.286
000025,50730,2020,0.265,0.428,0.333,-0.014,-0.19,0.344
000026,50820,2022,0.25,0.48,0.282,0.0,-0.175,0.324
000027,50820,2023,0.192,0.323,0.367,-0.028,-0.45,0.286
000028,50854,2020,0.258,0.326,0.475,-0.026,-0.34,0.313
000029,50854,2021,0.262,0.362,0.718,-0.006,-0.175,0.337
000030,50854,2022,0.301,0.424,0.573,0.0,0.01,0.351
000031,50854,2023,0.274,0.372,0.594,-0.007,-0.14,0.32
000032,50923,2020,0.28,0.541,0.307,0.0,-0.055,0.356
000033,50923,2021,0.272,0.514,0.365,0.001,0.0,0.36
000034,51004,2021,0.271,0.404,0.44,-0.02,-0.135,0.336
000035,51100,2021,0.242,0.346,0.288,0.0,0.0,0.316
000036,51144,2021,0.17,0.28,0.367,-0.013,-0.245,0.265
000037,51203,2021,0.26,0.353,0.296,0.0,-0.02,0.32
000038,51203,2022,0.213,0.294,0.268,-0.006,-0.2,0.279
000039,51309,2021,0.243,0.374,0.465,-0.016,-0.3,0.316
000040,51324,2021,0.259,0.374,0.241,-0.03,-0.37,0.297
000041,51344,2022,0.218,0.331,0.347,-0.022,-0.23,0.319
000042,51344,2023,0.25,0.37,0.458,-0.025,-0.41,0.327
000043,51417,2022,0.275,0.35,0.562,0.0,-0.005,0.358
000044,51417,2023,0.3,0.369,0.306,-0.01,-0.31,0.346
000045,51463,2021,0.285,0.495,0.633,0.012,0.125,0.359
000046,51463,2022,0.342,0.565,0.679,0.012,0.19,0.422
000047,51463,2023,0.279,0.41,0.457,-0.01,-0.07,0.327
000048,51551,2021,0.204,0.274,0.424,0.0,-0.215,0.289
000049,51714,2021,0.268,0.411,0.327,-0.03,-0.23,0.321
000050,51725,2021,0.257,0.394,0.276,-0.013,-0.16,0.306
000051,51817,2021,0.265,0.451,0.837,0.016,0.28,0.413
000052,51817,2022,0.263,0.426,0.682,0.011,0.125,0.385
000053,51817,2023,0.244,0.382,0.934,-0.008,-0.16,0.395
000054,51907,2021,0.241,0.386,0.298,-0.003,-0.11,0.312
000055,51907,2022,0.227,0.388,0.337,-0.01,-0.08,0.327
000056,51907,2023,0.239,0.353,0.361,-0.018,-0.16,0.331
000057,52009,2022,0.297,0.516,0.391,0.006,0.075,0.378
000058,52009,2023,0.308,0.458,0.406,-0.007,-0.02,0.386
000059,52125,2022,0.206,0.353,0.475,-0.017,-0.37,0.308
000060,52348,2022,0.21,0.352,0.134,-0.008,-0.23,0.273
000061,52366,2022,0.281,0.484,0.595,0.004,0.0,0.374
000062,52415,2022,0.235,0.343,0.114,-0.028,-0.33,0.251
000063,52415,2023,0.229,0.358,0.36,-0.019,-0.26,0.277
000064,52526,2022,0.228,0.402,0.338,-0.001,-0.21,0.301
000065,52547,2022,0.33,0.495,0.591,0.001,0.195,0.415
000066,52547,2023,0.248,0.342,0.529,0.001,-0.18,0.346
000067,52591,2023,0.318,0.384,0.275,0.0,0.0,0.346
000068,52605,2022,0.237,0.362,0.355,0.0,-0.05,0.307
000069,52605,2023,0.346,0.486,0.125,0.006,-0.05,0.36
000070,52630,2022,0.311,0.492,0.41,-0.012,-0.115,0.358
000071,52630,2023,0.29,0.462,0.652,-0.017,-0.13,0.355
