idx,code,avg,slg,bbk,wpa,re24,obp
000001,50066,0.226,0.343,0.214,0.0,0.0,0.259
000002,50165,0.268,0.545,0.405,-0.007,0.05,0.355
000003,50202,0.291,0.35,0.633,0.0,0.0,0.355
000004,50293,0.239,0.31,0.4,-0.002,-0.12,0.321
000005,50350,0.268,0.364,0.513,-0.014,-0.2,0.328
000006,50458,0.269,0.31,0.782,-0.001,-0.09,0.337
000007,50468,0.28,0.477,0.561,0.0,0.115,0.411
000008,50469,0.209,0.367,0.31,-0.024,-0.28,0.272
000009,50500,0.268,0.327,0.414,-0.003,-0.23,0.31
000010,50506,0.279,0.392,0.896,-0.007,-0.2,0.357
000011,50704,0.188,0.255,0.241,-0.019,-0.31,0.257
000012,50707,0.221,0.289,0.364,-0.01,-0.215,0.298
000013,50709,0.228,0.288,0.239,-0.006,-0.255,0.274
000014,50730,0.265,0.428,0.333,-0.014,-0.19,0.344
000015,50820,0.233,0.434,0.304,-0.008,-0.18,0.312
000016,50854,0.275,0.375,0.586,-0.007,-0.13,0.331
000017,50923,0.276,0.528,0.337,0.0,-0.03,0.358
000018,51004,0.271,0.404,0.44,-0.02,-0.135,0.336
000019,51100,0.242,0.346,0.288,0.0,0.0,0.316
000020,51144,0.17,0.28,0.367,-0.013,-0.245,0.265
000021,51203,0.235,0.321,0.28,-0.001,-0.14,0.298
000022,51309,0.243,0.374,0.465,-0.016,-0.3,0.316
000023,51324,0.259,0.374,0.241,-0.03,-0.37,0.297
000024,51344,0.23,0.345,0.383,-0.022,-0.24,0.322
000025,51417,0.287,0.359,0.441,-0.003,-0.09,0.353
000026,51463,0.301,0.487,0.591,0.002,0.105,0.369
000027,51551,0.204,0.274,0.424,0.0,-0.215,0.289
000028,51714,0.268,0.411,0.327,-0.03,-0.23,0.321
000029,51725,0.257,0.394,0.276,-0.013,-0.16,0.306
000030,51817,0.258,0.423,0.806,0.007,0.1,0.398
000031,51907,0.236,0.369,0.341,-0.012,-0.12,0.326
000032,52009,0.304,0.48,0.4,-0.006,0.02,0.383
000033,52125,0.206,0.353,0.475,-0.017,-0.37,0.308
000034,52348,0.21,0.352,0.134,-0.01,-0.26,0.273
000035,52366,0.281,0.484,0.595,0.004,0.0,0.374
000036,52415,0.231,0.353,0.291,-0.019,-0.26,0.27
000037,52526,0.228,0.402,0.338,-0.001,-0.21,0.301
000038,52547,0.277,0.396,0.547,0.001,-0.01,0.37
000039,52591,0.318,0.384,0.275,0.0,0.0,0.346
000040,52605,0.272,0.402,0.291,0.0,-0.05,0.323
000041,52630,0.3,0.477,0.535,-0.016,-0.125,0.356
000042,52712,0.289,0.43,0.615,-0.005,-0.055,0.371
000043,52806,0.307,0.454,0.8,0.009,0.08,0.352
000044,52827,0.222,0.42,0.132,-0.021,-0.34,0.255
000045,52904,0.3,0.465,0.593,-0.003,-0.03,0.373
