idx,code,era,kpit,kbb,wpa,re24,whip
000001,50030,3.48,0.044,2.203,0.033,0.86,1.332
000002,50040,4.11,0.045,2.246,0.036,0.76,1.483
000003,50126,4.59,0.042,1.821,0.007,0.56,1.5
000004,50157,4.52,0.041,1.926,0.012,0.56,1.539
000005,50234,2.79,0.068,4.432,0.08,1.055,1.097
000006,50360,5.05,0.023,0.882,0.001,0.45,1.72
000007,50404,3.14,0.049,3.031,0.073,1.31,1.302
000008,50441,7.06,0.04,1.71,-0.115,-0.23,1.839
000009,50449,5.76,0.03,0.831,-0.047,-0.23,1.8
000010,50464,8.58,0.03,1.222,-0.104,-1.155,1.991
000011,50524,5.4,0.04,2.417,-0.006,-0.01,1.608
000012,50558,3.39,0.056,2.623,0.064,1.33,1.334
000013,50636,2.79,0.054,4.625,0.167,1.86,1.169
000014,50640,4.34,0.05,2.203,-0.005,0.48,1.472
000015,50720,6.37,0.026,0.911,-0.105,0.03,1.764
000016,50726,3.35,0.049,2.059,0.01,0.535,1.587
000017,50815,3.19,0.056,3.195,0.098,1.33,1.139
000018,50835,6.17,0.038,1.244,-0.112,-0.45,1.864
000019,50859,4.96,0.043,1.601,-0.014,0.275,1.598
000020,50912,4.87,0.045,1.939,-0.047,0.16,1.531
000021,50992,3.25,0.039,1.476,0.002,0.56,1.398
000022,51136,2.29,0.064,3.023,0.117,1.67,1.208
000023,51230,3.31,0.05,3.214,0.027,0.57,1.413
000024,51234,2.98,0.055,2.667,0.142,2.33,1.508
000025,51257,2.32,0.077,3.554,0.122,1.835,1.153
000026,51264,5.52,0.039,1.73,0.002,0.12,1.611
000027,51439,5.47,0.055,1.447,-0.102,-0.185,1.728
000028,51516,6.43,0.051,1.155,0.0,0.02,1.993
000029,51567,5.4,0.045,1.653,0.02,-0.23,1.613
000030,51619,3.6,0.053,2.971,0.04,0.94,1.267
000031,51636,4.91,0.07,3.833,-0.17,-0.67,1.691
000032,51648,3.85,0.06,1.79,-0.01,0.33,1.415
000033,51715,4.7,0.035,1.0,-0.07,-0.525,1.957
000034,51722,3.97,0.06,2.486,0.075,1.08,1.418
000035,51761,4.5,0.036,1.04,-0.001,0.47,1.658
000036,51833,5.86,0.054,2.333,0.005,-1.14,1.537
000037,51863,3.01,0.06,4.037,0.074,1.33,1.048
000038,51948,4.05,0.04,1.281,-0.024,-0.17,1.556
000039,51967,3.68,0.061,2.274,0.068,1.33,1.358
000040,52043,3.38,0.059,3.22,0.006,0.56,1.238
000041,52145,2.34,0.054,3.85,0.152,2.095,1.095
000042,52234,3.55,0.048,1.663,-0.047,0.33,1.539
000043,52257,2.6,0.046,2.303,0.05,1.33,1.144
000044,52308,4.05,0.036,2.25,-0.02,0.33,1.533
000045,52457,3.03,0.051,3.052,0.084,1.455,1.3
000046,52528,3.95,0.054,2.804,-0.048,0.42,1.382
000047,52530,5.88,0.057,1.947,0.001,-0.26,1.96
000048,52557,5.31,0.057,2.07,-0.027,0.27,1.713
000049,52606,2.51,0.051,2.92,0.061,1.045,1.244
000050,52637,2.56,0.054,4.269,0.07,1.275,1.208
000051,52645,5.89,0.039,1.143,-0.138,-1.62,1.759
000052,52701,3.49,0.054,2.483,0.013,0.56,1.287
000053,52707,4.13,0.04,1.27,0.04,0.78,1.469
000054,52720,3.14,0.054,2.5,0.026,1.33,1.275
000055,52808,2.27,0.054,2.76,0.276,2.89,1.223
000056,52833,6.5,0.031,1.28,-0.092,-0.685,1.696
000057,52950,4.54,0.05,2.846,-0.068,0.11,1.563
000058,53040,5.62,0.043,2.5,-0.117,-1.12,1.631
000059,53322,3.18,0.034,1.235,-0.036,0.22,1.471
000060,53375,2.9,0.052,3.4,0.078,1.045,1.244
000061,53613,4.18,0.034,1.583,0.121,1.53,1.38
000062,53645,6.05,0.036,1.241,-0.177,-1.18,1.759
000063,53664,3.76,0.049,2.462,0.038,0.77,1.316
000064,53714,2.06,0.048,3.95,0.169,2.33,1.156
000065,53825,4.15,0.049,2.4,-0.028,0.33,1.517
000066,53833,2.52,0.053,2.64,0.151,1.89,1.107
000067,53913,1.71,0.073,4.739,0.125,1.33,1.037
000068,53927,5.24,0.055,1.949,-0.045,-0.795,1.405
000069,60140,5.85,0.054,2.395,0.008,0.3,1.647
000070,60263,4.76,0.042,1.659,-0.001,0.33,1.478
000071,60339,5.54,0.038,1.583,0.001,0.56,1.731
000072,60559,4.23,0.059,2.222,0.004,0.47,1.33
000073,60768,4.62,0.043,2.779,0.007,0.56,1.365
000074,60841,4.46,0.044,1.76,0.006,0.33,1.564
000075,61101,4.64,0.047,1.993,-0.007,0.31,1.504
000076,61145,5.04,0.038,0.924,-0.002,0.04,1.696
000077,61214,5.13,0.032,1.158,0.0,0.2,1.76
000078,61240,4.25,0.056,4.231,0.067,1.33,1.474
000079,61268,2.63,0.041,2.138,0.017,0.56,1.189
000080,61365,5.66,0.032,1.514,0.0,0.14,1.661
000081,61643,7.16,0.036,1.576,-0.028,-1.45,1.812
000082,61666,5.56,0.045,1.595,-0.043,-0.34,1.782
000083,62360,4.87,0.043,1.969,0.006,0.56,1.587
000084,62363,4.88,0.043,2.197,-0.021,0.31,1.57
000085,62528,6.4,0.05,1.855,-0.023,-0.175,1.789
000086,62611,4.2,0.029,0.929,0.001,0.145,1.723
000087,62698,3.71,0.065,5.385,0.08,0.67,1.224
000088,62754,5.13,0.044,2.527,-0.018,0.33,1.535
000089,62869,4.04,0.047,2.797,0.003,0.56,1.321
000090,62920,7.16,0.054,1.241,-0.01,-0.4,2.02
000091,62937,6.71,0.032,2.333,-0.001,0.11,1.643
000092,62951,5.17,0.025,0.917,0.0,0.24,1.648
000093,62966,8.44,0.025,0.818,-0.007,-0.04,2.009
000094,63111,4.22,0.034,1.192,-0.054,-0.23,1.65
000095,63145,4.24,0.044,1.63,0.0,0.55,1.545
000096,63248,3.83,0.056,2.619,0.014,0.505,1.42
000097,63292,5.64,0.03,1.138,-0.008,-0.15,1.681
000098,63464,5.65,0.041,2.059,0.002,0.375,1.601
000099,63938,4.98,0.044,1.971,-0.116,-0.05,1.539
000100,63950,10.76,0.032,1.182,0.0,-0.42,2.171
000101,63991,3.61,0.039,2.714,0.018,0.455,1.37
000102,64001,3.49,0.055,5.989,0.061,0.89,1.256
000103,64017,3.28,0.039,2.0,0.007,0.56,1.301
000104,64021,4.2,0.047,2.443,-0.009,0.33,1.443
000105,64029,4.91,0.036,2.0,0.001,0.56,1.568
000106,64565,4.13,0.037,2.446,0.0,0.56,1.513
000107,64615,4.36,0.033,1.056,0.008,0.24,1.667
000108,64718,6.2,0.037,1.167,-0.003,-0.45,1.746
000109,64768,5.83,0.035,1.686,-0.004,0.05,1.552
000110,64805,4.96,0.052,2.128,0.001,0.47,1.574
000111,64861,5.68,0.041,1.123,-0.074,-0.495,1.574
000112,65048,4.96,0.044,2.071,0.001,0.34,1.613
000113,65056,3.46,0.055,2.604,0.032,0.78,1.267
000114,65060,8.39,0.035,2.0,0.0,0.21,1.739
000115,65320,3.96,0.043,2.262,0.041,0.89,1.388
000116,65331,4.3,0.052,3.711,-0.086,-0.12,1.408
000117,65392,7.11,0.035,1.167,-0.042,-1.34,1.705
000118,65516,3.92,0.044,1.505,0.003,0.585,1.48
000119,65543,2.73,0.062,5.027,0.121,1.555,1.069
000120,65546,4.31,0.053,2.672,-0.029,0.33,1.442
000121,65616,6.72,0.037,1.403,-0.004,-0.08,1.829
000122,65618,4.96,0.042,2.917,0.0,0.245,1.443
000123,65639,5.97,0.046,1.447,0.001,0.23,1.737
000124,65665,6.02,0.044,1.533,0.005,0.3,1.662
000125,65742,3.8,0.051,4.062,0.07,0.35,1.325
000126,65764,5.02,0.046,1.63,-0.026,0.285,1.572
000127,65769,5.42,0.05,1.526,0.002,0.25,1.735
000128,65856,3.96,0.063,3.34,-0.016,0.33,1.331
000129,65933,3.21,0.061,3.203,0.078,1.32,1.222
000130,66018,5.93,0.035,1.25,0.0,0.55,1.705
000131,66047,10.68,0.04,1.263,-0.321,-3.79,2.308
000132,66291,4.76,0.04,1.362,0.006,0.36,1.621
000133,66451,7.36,0.051,1.079,-0.002,-0.45,2.345
000134,66643,4.6,0.048,3.806,-0.002,0.33,1.443
000135,66741,5.6,0.03,1.469,-0.0,0.21,1.691
000136,66859,7.43,0.026,1.1,0.0,0.11,1.913
000137,66920,5.17,0.039,1.339,0.0,0.33,1.601
000138,66960,6.32,0.035,1.0,-0.021,-0.45,1.902
000139,67008,4.08,0.04,1.513,0.018,0.4,1.57
000140,67246,4.69,0.04,3.133,0.001,0.19,1.437
000141,67263,3.73,0.042,2.707,0.004,0.56,1.399
000142,67313,3.5,0.055,2.787,0.047,1.33,1.308
000143,67391,4.68,0.049,2.217,0.01,0.56,1.508
000144,67539,4.15,0.052,2.478,-0.005,0.56,1.477
000145,67588,6.39,0.064,1.806,-0.004,-0.45,1.776
000146,67603,4.91,0.041,1.548,0.001,0.375,1.564
